,site_id,longitude,latitude,State,County,fraction_of_usable_area,power_curve,capacity,wind_speed,capacity_factor,full_timeseries_directory,full_timeseries_path
3081,122091,-117.669205,46.536591,Washington,Garfield,0.407,2,8,7.19,0.404,244,244/122091.nc
3082,29099,-117.658401,34.448273,California,San Bernardino,1.0,3,16,4.88,0.203,58,58/29099.nc
3083,47474,-117.659073,37.613731,Nevada,Esmeralda,1.0,3,16,3.89,0.151,94,94/47474.nc
3084,57270,-117.657135,38.783741,Nevada,Nye,0.8882,3,16,5.28,0.215,114,114/57270.nc
3085,99911,-117.664276,42.344273,Oregon,Malheur,0.9283,2,16,7.12,0.322,199,199/99911.nc
3086,108994,-117.655426,43.504665,Oregon,Malheur,0.5802,3,10,6.2,0.321,217,217/108994.nc
3087,114541,-117.65596,44.760651,Oregon,Baker,0.8884,3,16,6.82,0.385,229,229/114541.nc
3088,119627,-117.660858,45.958244,Oregon,Wallowa,0.9901,3,16,7.53,0.395,239,239/119627.nc
3089,122027,-117.661972,46.518642,Washington,Garfield,0.7902,2,14,7.51,0.411,244,244/122027.nc
3090,28951,-117.652481,34.430645,California,San Bernardino,1.0,3,16,5.0,0.205,57,57/28951.nc
3091,32957,-117.65332,34.981396,California,Kern,0.9583,2,16,6.68,0.353,65,65/32957.nc
3092,40479,-117.647659,36.201729,California,Inyo,0.9683,2,16,6.58,0.298,80,80/40479.nc
3093,47182,-117.646637,37.578175,Nevada,Esmeralda,1.0,3,16,4.75,0.198,94,94/47182.nc
3094,57045,-117.650787,38.765919,Nevada,Nye,0.9996,2,16,5.56,0.205,114,114/57045.nc
3095,82406,-117.647858,40.978455,Nevada,Humboldt,1.0,3,16,5.5,0.241,164,164/82406.nc
3096,100147,-117.646759,42.367172,Oregon,Malheur,0.7437,2,12,6.78,0.307,200,200/100147.nc
3097,108859,-117.648575,43.486725,Oregon,Malheur,0.9398,3,16,6.42,0.327,217,217/108859.nc
3098,109756,-117.647095,43.622253,Oregon,Malheur,1.0,3,16,6.02,0.293,219,219/109756.nc
3099,113824,-117.650467,44.607105,Oregon,Baker,0.9978,2,16,7.61,0.37,227,227/113824.nc
3100,120957,-117.64624,46.270355,Washington,Columbia,0.2266,3,4,6.65,0.369,241,241/120957.nc
3101,121953,-117.654739,46.500694,Washington,Garfield,0.9875,2,16,7.47,0.396,243,243/121953.nc
3102,125114,-117.653961,47.544456,Washington,Spokane,0.9694,3,16,6.37,0.327,250,250/125114.nc
3103,47045,-117.640411,37.560398,Nevada,Esmeralda,0.7444,3,12,5.24,0.233,94,94/47045.nc
3104,57496,-117.640594,38.806515,Nevada,Nye,1.0,3,16,5.09,0.199,114,114/57496.nc
3105,82175,-117.641296,40.960571,Nevada,Humboldt,1.0,3,16,5.77,0.262,164,164/82175.nc
3106,99912,-117.640045,42.349243,Oregon,Malheur,0.9979,2,16,6.94,0.308,199,199/99912.nc
3107,109120,-117.637543,43.527569,Oregon,Malheur,0.6402,3,12,6.38,0.33,218,218/109120.nc
3108,114371,-117.641953,44.724751,Oregon,Baker,0.5131,3,10,7.39,0.438,228,228/114371.nc
3109,119628,-117.63504,45.963215,Oregon,Wallowa,0.9498,3,16,7.61,0.408,239,239/119628.nc
3110,122028,-117.63588,46.523617,Washington,Garfield,0.4931,2,8,7.43,0.416,244,244/122028.nc
3111,28784,-117.625183,34.4179,California,San Bernardino,1.0,3,16,4.9,0.197,57,57/28784.nc
3112,32958,-117.631775,34.986282,California,San Bernardino,0.9712,2,16,6.62,0.347,65,65/32958.nc
3113,40480,-117.625702,36.206631,California,Inyo,0.7071,3,12,6.19,0.31,80,80/40480.nc
3114,46815,-117.627991,37.52483,Nevada,Esmeralda,0.6897,2,12,6.81,0.301,93,93/46815.nc
3115,57046,-117.62793,38.770851,Nevada,Nye,0.8659,2,14,5.71,0.22,114,114/57046.nc
3116,65762,-117.629669,39.538841,Nevada,Churchill,1.0,3,16,3.97,0.149,131,131/65762.nc
3117,81929,-117.634735,40.942673,Nevada,Humboldt,0.9822,3,16,6.3,0.297,163,163/81929.nc
3118,99373,-117.626602,42.3134,Oregon,Malheur,1.0,2,16,7.42,0.338,198,198/99373.nc
3119,108995,-117.630692,43.509636,Oregon,Malheur,0.1054,3,2,6.08,0.329,217,217/108995.nc
3120,121068,-117.627472,46.293285,Washington,Columbia,0.4639,3,8,6.46,0.336,242,242/121068.nc
3121,121954,-117.628662,46.505661,Washington,Garfield,0.8691,2,14,7.54,0.407,243,243/121954.nc
3122,28597,-117.619278,34.40028,California,San Bernardino,1.0,3,16,4.96,0.201,57,57/28597.nc
3123,40395,-117.619614,36.188919,California,Inyo,0.6539,2,12,6.46,0.298,80,80/40395.nc
3124,46595,-117.615585,37.489277,Nevada,Esmeralda,0.6666,2,12,7.17,0.321,93,93/46595.nc
3125,47046,-117.617981,37.565315,Nevada,Esmeralda,1.0,3,16,4.85,0.206,94,94/47046.nc
3126,56580,-117.615265,38.735203,Nevada,Nye,0.487,2,8,6.29,0.268,113,113/56580.nc
3127,99913,-117.615784,42.35421,Oregon,Malheur,1.0,2,16,6.81,0.298,199,199/99913.nc
3128,108727,-117.617004,43.473751,Oregon,Malheur,0.8608,3,14,6.16,0.315,217,217/108727.nc
3129,121266,-117.61586,46.334156,Washington,Columbia,0.7146,3,12,6.91,0.361,242,242/121266.nc
3130,122093,-117.617004,46.546535,Washington,Garfield,0.9968,3,16,7.1,0.408,244,244/122093.nc
3131,32959,-117.610214,34.991173,California,San Bernardino,0.8838,2,16,6.51,0.341,65,65/32959.nc
3132,40229,-117.607468,36.153473,California,Inyo,0.6341,2,12,6.52,0.287,80,80/40229.nc
3133,46495,-117.60939,37.471493,Nevada,Esmeralda,0.5499,2,10,6.9,0.308,92,92/46495.nc
3134,46816,-117.605576,37.529747,Nevada,Esmeralda,0.554,2,10,6.26,0.28,93,93/46816.nc
3135,57272,-117.611389,38.793617,Nevada,Nye,0.6393,2,12,5.72,0.223,114,114/57272.nc
3136,82642,-117.60701,41.006264,Nevada,Humboldt,1.0,3,16,5.92,0.274,165,165/82642.nc
3137,99645,-117.60907,42.336285,Oregon,Malheur,1.0,2,16,6.96,0.309,199,199/99645.nc
3138,108996,-117.605957,43.514595,Oregon,Malheur,0.7063,3,12,5.98,0.306,217,217/108996.nc
3139,121175,-117.608673,46.316196,Washington,Garfield,0.6417,2,12,7.25,0.353,242,242/121175.nc
3140,122029,-117.609787,46.528587,Washington,Garfield,0.5795,3,10,7.36,0.438,244,244/122029.nc
3141,31330,-117.597412,34.747028,California,San Bernardino,0.9786,3,16,6.63,0.367,62,62/31330.nc
3142,37076,-117.598679,35.507481,California,San Bernardino,0.9025,3,16,6.89,0.379,74,74/37076.nc
