,state,latitude,longitude,Distance to Salt Cavern [km],Salt Cavern Name
1270,Missouri,38.574,-93.394,672.2717929587035,ARCADIA
1271,Florida,30.016,-81.454,643.6458861887114,MCINTOSH SALT DOME
1272,Texas,29.852,-102.134,248.36150758157808,KEYSTONE
1273,California,36.143,-119.844,1610.5976546236773,SALADO
1274,Kentucky,37.719,-82.445,112.406492104356,SALTVILLE STORAGE
1275,Montana,45.708,-107.098,709.7596434138351,ASQUITH
1276,Texas,33.591,-100.884,208.17848573700837,SALADO
1277,SouthCarolina,34.983,-82.844,229.7978842615857,SALTVILLE STORAGE
1278,Utah,37.593,-111.605,970.009143034549,SALADO
1279,Kentucky,37.109,-86.852,453.13928547216574,SALTVILLE STORAGE
1280,Texas,31.82,-100.511,232.30236649957823,KEYSTONE
1281,Nevada,40.054,-117.62,1557.7641782222324,ASQUITH
1282,Texas,28.292,-97.996,195.9159897668418,MARKHAM
1283,California,41.529,-121.927,1618.5611944022216,ASQUITH
1284,Colorado,38.458,-104.048,653.7587230447897,SALADO
1285,Texas,29.839,-100.146,358.43117390822573,KEYSTONE
1286,Iowa,41.316,-93.721,717.5562755679293,LACEY STORAGE
1287,Indiana,38.785,-86.901,433.8346263358716,LACEY STORAGE
1288,Texas,28.811,-95.807,31.052497298551117,CLEMENS NORTHEAST (FRIO B)
1289,Nebraska,41.578,-99.736,1027.50770600128,SALADO
1290,Colorado,38.91,-107.362,806.5969428032367,SALADO
1291,Ohio,39.2,-82.423,265.8342619138564,SALTVILLE STORAGE
1292,Ohio,41.21,-83.906,177.28884058664033,LACEY STORAGE
1293,Texas,34.406,-102.526,196.3752891117641,SALADO
1294,Montana,48.115,-104.77,475.4036964311649,ASQUITH
1295,Montana,46.623,-109.207,624.9178961156024,ASQUITH
1296,Washington,47.363,-120.947,1118.505347882835,ASQUITH
1297,Florida,30.543,-82.49,533.9719677931596,MCINTOSH SALT DOME
1298,Missouri,40.034,-93.049,710.2868829319682,LACEY STORAGE
1299,Ohio,40.138,-81.934,313.15179328576824,MARYSVILLE STORAGE SYSTEM
1300,Idaho,45.286,-114.447,924.1921602042725,ASQUITH
1301,Washington,48.903,-117.365,801.7432553428465,ASQUITH
1302,Idaho,43.379,-116.799,1203.9478687640362,ASQUITH
